,Date,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,Wind SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,City,Season
67,3/8/2015,39,25,56,30.09,10,10,,4,Snow,254,New York City (USA),Winter
68,3/9/2015,43,28,54,30.18,10,9,0.02,4,Rain,247,New York City (USA),Winter
69,3/10/2015,42,36,78,30.2,7,3,0.49,7,Rain,127,New York City (USA),Winter
70,3/11/2015,51,38,60,29.98,7,12,0.04,6,Fog-Rain,264,New York City (USA),Winter
71,3/12/2015,43,5,27,30.38,10,20,0,1,NA,327,New York City (USA),Winter
72,3/13/2015,36,13,44,30.57,10,8,0,5,NA,107,New York City (USA),Winter
73,3/14/2015,44,41,82,29.99,5,9,1.11,8,Fog-Rain,205,New York City (USA),Winter
74,3/15/2015,42,29,65,29.81,10,20,0,7,NA,297,New York City (USA),Winter
75,3/16/2015,43,27,57,29.95,10,9,0,6,NA,256,New York City (USA),Winter
76,3/17/2015,47,29,55,29.7,10,18,0.02,6,Rain,281,New York City (USA),Winter
77,3/18/2015,36,8,34,30.06,10,19,2.2,4,Snow,323,New York City (USA),Winter
78,3/19/2015,37,3,27,30.3,10,12,0,5,NA,321,New York City (USA),Winter
79,3/20/2015,36,20,59,30.26,6,10,0.33,8,Fog-Snow,66,New York City (USA),Spring
80,3/21/2015,39,30,73,30.01,8,9,0.02,6,Snow,292,New York City (USA),Spring
81,3/22/2015,37,12,40,30.05,10,17,0,3,NA,321,New York City (USA),Spring
82,3/23/2015,33,3,32,30.23,10,15,0,2,NA,322,New York City (USA),Spring
83,3/24/2015,35,11,49,30.34,10,8,0,4,NA,285,New York City (USA),Spring
84,3/25/2015,38,27,57,30.35,10,6,0.12,6,Rain,161,New York City (USA),Spring
85,3/26/2015,48,44,93,29.84,3,9,0.25,8,Fog-Rain,180,New York City (USA),Spring
86,3/27/2015,44,34,66,29.75,10,11,0.23,8,Rain,346,New York City (USA),Spring
87,3/28/2015,35,22,54,29.87,10,17,,7,Snow,341,New York City (USA),Spring
88,3/29/2015,37,10,43,30.2,10,14,4,3,Snow,297,New York City (USA),Spring
89,3/30/2015,47,25,49,29.91,10,15,,7,Rain-Snow,243,New York City (USA),Spring
90,3/31/2015,43,29,61,29.83,10,12,0.03,7,Rain,331,New York City (USA),Spring
91,4/1/2015,44,18,52,30.05,10,12,0,3,NA,327,New York City (USA),Spring
92,4/2/2015,45,30,49,30.15,10,14,,4,NA,198,New York City (USA),Spring
93,4/3/2015,53,45,82,29.81,4,8,0.11,8,Fog-Rain,185,New York City (USA),Spring
94,4/4/2015,50,28,56,29.8,8,21,,4,Rain,294,New York City (USA),Spring
95,4/5/2015,52,27,44,30.18,10,13,0,4,NA,237,New York City (USA),Spring
96,4/6/2015,50,37,63,30.25,10,10,0,4,NA,133,New York City (USA),Spring
97,4/7/2015,51,42,75,30.23,10,8,0.03,8,Rain,57,New York City (USA),Spring
98,4/8/2015,43,32,57,30.31,9,15,0.01,8,Rain,61,New York City (USA),Spring
99,4/9/2015,41,35,78,30.29,8,12,0.05,8,Rain,59,New York City (USA),Spring
100,4/10/2015,49,43,85,29.93,4,8,0.19,8,Fog-Rain,156,New York City (USA),Spring
101,4/11/2015,53,31,47,29.99,10,17,0,3,NA,301,New York City (USA),Spring
102,4/12/2015,52,30,53,30.31,10,9,0,1,NA,224,New York City (USA),Spring
103,4/13/2015,53,40,65,30.29,10,14,0,5,NA,185,New York City (USA),Spring
104,4/14/2015,58,43,59,30.14,10,6,0.04,7,Rain,179,New York City (USA),Spring
105,4/15/2015,61,20,35,30.2,10,12,0,6,NA,350,New York City (USA),Spring
106,4/16/2015,54,25,49,30.41,10,11,0,6,NA,103,New York City (USA),Spring
107,4/17/2015,61,50,78,30.05,10,10,0.11,7,Fog-Rain,198,New York City (USA),Spring
108,4/18/2015,62,43,48,29.96,10,9,0,3,NA,223,New York City (USA),Spring
109,4/19/2015,55,33,49,30.21,10,12,0,6,NA,98,New York City (USA),Spring
110,4/20/2015,53,50,86,29.77,3,16,0.87,8,Fog-Rain,113,New York City (USA),Spring
111,4/21/2015,59,43,61,29.65,7,12,0.06,5,Rain-Thunderstorm,246,New York City (USA),Spring
112,4/22/2015,55,42,60,29.71,10,14,0.19,4,Rain-Thunderstorm,213,New York City (USA),Spring
113,4/23/2015,48,25,44,29.76,10,19,3.2,4,NA,285,New York City (USA),Spring
114,4/24/2015,46,18,35,29.87,10,22,0,4,NA,320,New York City (USA),Spring
115,4/25/2015,49,26,48,29.83,10,11,0,3,NA,279,New York City (USA),Spring
116,4/26/2015,51,31,50,29.69,10,10,0,5,NA,64,New York City (USA),Spring
117,4/27/2015,56,30,37,29.68,10,15,3,6,NA,323,New York City (USA),Spring
118,4/28/2015,61,36,43,29.75,10,14,0,3,NA,340,New York City (USA),Spring
119,4/29/2015,64,40,51,29.7,10,12,1.1,2,NA,304,New York City (USA),Spring
120,4/30/2015,56,39,60,29.81,10,13,0,5,NA,77,New York City (USA),Spring
121,5/1/2015,52,39,66,29.97,10,8,0,6,NA,107,New York City (USA),Spring
122,5/2/2015,52,40,69,30.01,10,7,0,3,NA,170,New York City (USA),Spring
123,5/3/2015,57,44,66,30.1,10,8,1,3,NA,193,New York City (USA),Spring
124,5/4/2015,62,48,66,30.19,10,10,0,1,NA,183,New York City (USA),Spring
125,5/5/2015,69,51,60,30.19,10,5,,5,NA,185,New York City (USA),Spring
126,5/6/2015,62,44,52,30.25,10,8,,6,Rain,49,New York City (USA),Spring
127,5/7/2015,62,47,65,30.2,8,6,0,3,NA,183,New York City (USA),Spring
128,5/8/2015,63,54,75,30.17,4,6,0,5,Fog,167,New York City (USA),Spring
129,5/9/2015,61,57,91,30.27,1,6,0.02,8,Fog-Rain,97,New York City (USA),Spring
130,5/10/2015,66,60,84,30.21,6,10,2.1,5,Fog,178,New York City (USA),Spring
131,5/11/2015,70,62,79,30.1,5,9,0,6,Fog,169,New York City (USA),Spring
132,5/12/2015,76,60,61,29.86,6,13,0.01,6,Fog-Rain,241,New York City (USA),Spring
133,5/13/2015,64,38,39,30.07,10,17,0,5,NA,320,New York City (USA),Spring
134,5/14/2015,61,35,41,30.35,10,12,0,2,NA,299,New York City (USA),Spring
135,5/15/2015,62,44,53,30.29,10,12,0.33,7,NA,208,New York City (USA),Spring
136,5/16/2015,64,56,75,30.17,9,5,0.41,8,Rain-Thunderstorm,151,New York City (USA),Spring
137,5/17/2015,71,63,78,30.13,5,7,0.32,6,Fog-Rain,201,New York City (USA),Spring
138,5/18/2015,63,55,81,30.15,7,10,0,7,NA,89,New York City (USA),Spring
139,5/19/2015,66,58,79,29.92,5,6,3.2,6,Rain,151,New York City (USA),Spring
140,5/20/2015,62,39,50,29.91,10,16,0,4,NA,319,New York City (USA),Spring
141,5/21/2015,57,38,57,29.98,10,6,2,7,NA,204,New York City (USA),Spring
142,5/22/2015,67,39,50,29.95,10,14,2.1,5,Rain,290,New York City (USA),Spring
143,5/23/2015,60,31,51,30.35,10,15,0,1,NA,271,New York City (USA),Spring
144,5/24/2015,64,49,60,30.32,10,14,0,4,NA,207,New York City (USA),Spring
145,5/25/2015,67,55,68,30.24,10,13,0,4,NA,187,New York City (USA),Spring
146,5/26/2015,68,57,71,30.2,10,13,0,4,NA,190,New York City (USA),Spring
147,5/27/2015,68,59,77,30.17,10,14,1.2,5,NA,184,New York City (USA),Spring
148,5/28/2015,69,59,72,30.17,8,8,0,7,NA,173,New York City (USA),Spring
149,5/29/2015,72,55,65,30.27,10,7,0,3,NA,97,New York City (USA),Spring
150,5/30/2015,70,62,77,30.18,9,14,0,4,Fog,178,New York City (USA),Spring
151,5/31/2015,71,62,74,30.07,10,10,0.02,6,Rain-Thunderstorm,158,New York City (USA),Spring
152,6/1/2015,58,55,85,30.12,6,12,0.78,8,Rain-Thunderstorm,59,New York City (USA),Spring
153,6/2/2015,54,49,86,30.14,8,10,0.34,8,Rain,34,New York City (USA),Spring
154,6/3/2015,61,49,71,30.22,10,9,1,7,Rain,76,New York City (USA),Spring
155,6/4/2015,61,48,65,30.26,10,12,0,6,NA,84,New York City (USA),Spring
156,6/5/2015,63,52,75,30.07,10,5,1.1,7,Rain,97,New York City (USA),Spring
157,6/6/2015,69,56,56,29.94,9,9,0.2,6,Rain,329,New York City (USA),Spring
158,6/7/2015,64,49,65,30.16,10,9,0,4,NA,153,New York City (USA),Spring
159,6/8/2015,67,58,72,29.95,10,18,0.02,7,Rain,182,New York City (USA),Spring
160,6/9/2015,75,61,64,29.72,9,14,,6,Rain,206,New York City (USA),Spring
161,6/10/2015,72,58,59,29.87,10,11,0,2,NA,217,New York City (USA),Spring
162,6/11/2015,77,64,66,29.89,10,10,,5,Rain,200,New York City (USA),Spring
163,6/12/2015,78,65,62,29.92,10,10,0,6,NA,148,New York City (USA),Spring
164,6/13/2015,78,61,56,29.93,10,11,0,6,Rain,326,New York City (USA),Spring
165,6/14/2015,76,62,64,30.05,10,8,0.31,6,Rain,182,New York City (USA),Spring
166,6/15/2015,74,66,84,29.97,8,8,1.09,8,Rain-Thunderstorm,108,New York City (USA),Spring
167,6/16/2015,73,64,74,29.9,8,7,0.08,7,Rain,151,New York City (USA),Spring
168,6/17/2015,74,58,62,30.13,10,10,0,6,NA,119,New York City (USA),Spring
169,6/18/2015,68,59,74,30.06,10,8,,8,Rain,155,New York City (USA),Spring
170,6/19/2015,78,64,63,29.92,10,7,,7,Rain,289,New York City (USA),Spring
171,6/20/2015,71,62,72,30.04,9,11,0.32,8,Rain,83,New York City (USA),Spring
172,6/21/2015,81,68,70,29.75,7,13,0.51,7,Rain,232,New York City (USA),Summer
173,6/22/2015,82,62,55,29.94,10,12,0,3,NA,273,New York City (USA),Summer
174,6/23/2015,81,70,71,29.86,10,11,0.02,6,Rain-Thunderstorm,215,New York City (USA),Summer
175,6/24/2015,78,54,51,29.98,10,11,0,4,NA,330,New York City (USA),Summer
176,6/25/2015,75,53,53,30.03,10,9,,6,Rain,225,New York City (USA),Summer
177,6/26/2015,75,61,61,29.99,10,7,,6,Rain,115,New York City (USA),Summer
178,6/27/2015,67,58,76,30.05,9,12,1.02,8,Rain,78,New York City (USA),Summer
179,6/28/2015,70,62,75,29.7,8,10,0.3,7,Rain,348,New York City (USA),Summer
180,6/29/2015,72,56,59,29.88,10,13,0,3,NA,248,New York City (USA),Summer
181,6/30/2015,74,63,63,29.94,10,10,0,5,Rain,169,New York City (USA),Summer
182,7/1/2015,78,65,64,29.8,9,14,0.26,6,Rain-Thunderstorm,230,New York City (USA),Summer
183,7/2/2015,75,59,62,29.89,10,5,0.03,6,Rain,259,New York City (USA),Summer
184,7/3/2015,74,56,57,29.96,10,8,0,4,NA,38,New York City (USA),Summer
185,7/4/2015,74,56,52,29.97,10,6,0.01,7,Rain,78,New York City (USA),Summer
186,7/5/2015,74,63,71,30.11,10,10,0,6,NA,214,New York City (USA),Summer
187,7/6/2015,76,66,72,30.15,10,8,0,6,NA,159,New York City (USA),Summer
188,7/7/2015,79,72,80,30.03,7,12,,6,Rain,173,New York City (USA),Summer
189,7/8/2015,82,71,71,29.95,9,7,0.53,6,Rain,204,New York City (USA),Summer
190,7/9/2015,75,66,79,29.93,9,9,0.32,7,Rain-Thunderstorm,87,New York City (USA),Summer
191,7/10/2015,80,63,64,29.92,10,11,0,5,NA,321,New York City (USA),Summer
192,7/11/2015,78,60,59,30.06,10,7,0,3,NA,241,New York City (USA),Summer
193,7/12/2015,79,63,60,30.02,10,8,0,4,NA,206,New York City (USA),Summer
194,7/13/2015,78,64,63,29.9,10,7,0,6,NA,167,New York City (USA),Summer
195,7/14/2015,77,70,77,29.66,9,6,0.13,7,Rain,137,New York City (USA),Summer
196,7/15/2015,78,68,70,29.66,7,9,0.04,7,Rain-Thunderstorm,4,New York City (USA),Summer
197,7/16/2015,73,51,54,30.02,10,10,0,3,NA,66,New York City (USA),Summer
198,7/17/2015,74,60,66,30.09,10,12,0,5,NA,202,New York City (USA),Summer
199,7/18/2015,78,69,78,29.96,10,12,0.02,7,Rain-Thunderstorm,189,New York City (USA),Summer
200,7/19/2015,82,73,79,29.83,10,10,0,5,NA,204,New York City (USA),Summer
201,7/20/2015,87,70,62,29.71,10,10,0,5,NA,232,New York City (USA),Summer
202,7/21/2015,83,67,61,29.64,10,10,,6,NA,243,New York City (USA),Summer
203,7/22/2015,81,49,40,29.77,10,13,0,2,NA,317,New York City (USA),Summer
204,7/23/2015,79,50,41,29.91,10,10,0,3,NA,299,New York City (USA),Summer
205,7/24/2015,78,52,46,29.94,10,7,0,3,NA,185,New York City (USA),Summer
206,7/25/2015,77,60,58,29.99,10,9,0,3,NA,153,New York City (USA),Summer
207,7/26/2015,79,64,63,29.99,10,13,,6,Rain,187,New York City (USA),Summer
208,7/27/2015,80,67,69,30.02,10,9,,6,NA,188,New York City (USA),Summer
209,7/28/2015,81,70,72,29.99,10,9,0,4,NA,202,New York City (USA),Summer
210,7/29/2015,85,69,61,29.96,10,10,0,4,NA,212,New York City (USA),Summer
211,7/30/2015,81,73,87,29.88,9,12,0.97,6,Rain-Thunderstorm,205,New York City (USA),Summer
212,7/31/2015,83,60,57,29.84,10,8,0,2,NA,278,New York City (USA),Summer
213,8/1/2015,83,60,52,29.81,10,13,0,3,NA,248,New York City (USA),Summer
214,8/2/2015,79,60,57,29.9,10,8,0,3,NA,190,New York City (USA),Summer
215,8/3/2015,80,67,69,29.84,10,13,0,3,NA,200,New York City (USA),Summer
216,8/4/2015,81,62,56,29.87,10,12,0.01,5,Rain-Thunderstorm,244,New York City (USA),Summer
217,8/5/2015,81,55,46,29.9,10,10,0,4,NA,306,New York City (USA),Summer
218,8/6/2015,78,53,49,29.95,10,7,0,5,NA,255,New York City (USA),Summer
219,8/7/2015,78,57,54,29.91,10,8,0,5,NA,80,New York City (USA),Summer
220,8/8/2015,75,57,57,29.97,10,7,0,5,NA,67,New York City (USA),Summer
221,8/9/2015,77,58,53,30.01,10,9,0,3,NA,62,New York City (USA),Summer
222,8/10/2015,75,62,65,30.04,10,8,0,5,NA,146,New York City (USA),Summer
223,8/11/2015,77,68,77,29.82,8,13,1.13,7,Rain,197,New York City (USA),Summer
224,8/12/2015,81,59,50,29.85,10,11,,3,NA,305,New York City (USA),Summer
225,8/13/2015,78,56,47,30.03,10,8,0,2,NA,288,New York City (USA),Summer
226,8/14/2015,76,59,55,30.14,10,8,0,2,NA,205,New York City (USA),Summer
227,8/15/2015,79,65,63,30.11,10,10,0,2,NA,210,New York City (USA),Summer
228,8/16/2015,82,67,59,30.1,10,7,,4,Rain-Thunderstorm,211,New York City (USA),Summer
229,8/17/2015,83,69,68,30.07,10,9,0,2,NA,207,New York City (USA),Summer
230,8/18/2015,81,69,70,30.04,10,12,0,4,NA,189,New York City (USA),Summer
231,8/19/2015,81,73,75,30.05,10,11,0,4,NA,153,New York City (USA),Summer
232,8/20/2015,82,73,75,30.01,10,13,,5,NA,136,New York City (USA),Summer
233,8/21/2015,80,68,62,30,9,8,2.48,6,Rain-Thunderstorm,354,New York City (USA),Summer
234,8/22/2015,78,53,48,30.08,10,9,0,5,NA,5,New York City (USA),Summer
235,8/23/2015,76,65,71,30,10,5,0,5,NA,89,New York City (USA),Summer
236,8/24/2015,78,67,68,29.91,10,8,0,4,NA,202,New York City (USA),Summer
237,8/25/2015,80,68,61,29.86,10,11,0.01,4,NA,206,New York City (USA),Summer
238,8/26/2015,76,53,48,29.96,10,10,0,2,NA,299,New York City (USA),Summer
239,8/27/2015,76,53,49,30.06,10,9,0,4,NA,322,New York City (USA),Summer
240,8/28/2015,73,55,54,30.16,10,7,0,3,NA,308,New York City (USA),Summer
241,8/29/2015,76,60,59,30.17,10,9,0,5,NA,215,New York City (USA),Summer
242,8/30/2015,77,66,67,30.08,10,10,,5,Rain,211,New York City (USA),Summer
243,8/31/2015,83,68,63,30.01,10,12,0,6,NA,229,New York City (USA),Summer
244,9/1/2015,80,66,66,30.04,10,7,0,2,NA,152,New York City (USA),Summer
245,9/2/2015,79,69,71,29.99,9,9,0,3,NA,191,New York City (USA),Summer
246,9/3/2015,83,68,64,29.87,10,5,,3,NA,250,New York City (USA),Summer
247,9/4/2015,78,67,70,30.07,10,11,0,4,NA,87,New York City (USA),Summer
248,9/5/2015,72,59,60,30.25,10,7,0,3,NA,76,New York City (USA),Summer
249,9/6/2015,71,59,65,30.21,10,7,0,3,NA,148,New York City (USA),Summer
250,9/7/2015,78,67,71,30.09,10,12,0,1,NA,211,New York City (USA),Summer
251,9/8/2015,82,69,67,30.01,10,13,0,1,NA,207,New York City (USA),Summer
252,9/9/2015,81,72,74,29.92,10,11,0.07,4,Rain-Thunderstorm,198,New York City (USA),Summer
253,9/10/2015,75,71,85,29.81,8,8,1.18,7,Rain-Thunderstorm,30,New York City (USA),Summer
254,9/11/2015,74,63,69,29.76,10,10,0.03,6,Rain,11,New York City (USA),Summer
255,9/12/2015,74,66,76,29.76,9,12,0.27,6,Rain,143,New York City (USA),Summer
256,9/13/2015,71,60,70,29.74,10,12,0.04,6,Rain,249,New York City (USA),Summer
257,9/14/2015,69,47,49,30.04,10,14,0,1,NA,284,New York City (USA),Summer
258,9/15/2015,71,53,57,30.29,10,8,0,1,NA,238,New York City (USA),Summer
259,9/16/2015,73,59,59,30.29,10,4,0,4,NA,216,New York City (USA),Summer
260,9/17/2015,74,61,64,30.15,10,6,0,3,NA,201,New York City (USA),Summer
261,9/18/2015,74,61,64,30.04,10,7,0,1,NA,196,New York City (USA),Summer
262,9/19/2015,74,66,76,29.96,7,8,0,5,NA,198,New York City (USA),Summer
263,9/20/2015,72,55,59,29.98,10,14,0,3,NA,341,New York City (USA),Summer
264,9/21/2015,66,46,50,30.2,10,11,0,6,NA,51,New York City (USA),Summer
265,9/22/2015,68,53,59,30.26,10,10,0,7,NA,60,New York City (USA),Summer
266,9/23/2015,69,51,56,30.24,10,6,0,4,NA,40,New York City (USA),Autumn
267,9/24/2015,71,54,53,30.29,10,8,0,3,NA,43,New York City (USA),Autumn
268,9/25/2015,69,54,62,30.36,10,9,0,7,NA,70,New York City (USA),Autumn
269,9/26/2015,66,51,59,30.43,10,10,0,7,NA,64,New York City (USA),Autumn
270,9/27/2015,64,53,69,30.41,10,7,0,6,NA,49,New York City (USA),Autumn
271,9/28/2015,70,63,80,30.23,8,6,0.04,6,Rain,52,New York City (USA),Autumn
272,9/29/2015,75,70,86,30.03,8,7,0.13,7,Rain,126,New York City (USA),Autumn
273,9/30/2015,69,65,80,29.78,8,16,0.82,7,Rain,88,New York City (USA),Autumn
274,10/1/2015,59,50,72,30.08,10,15,0.08,8,Rain,25,New York City (USA),Autumn
275,10/2/2015,54,47,82,30.19,7,19,1.81,8,Rain,30,New York City (USA),Autumn
276,10/3/2015,54,47,78,30.3,9,19,0.16,8,Rain,49,New York City (USA),Autumn
277,10/4/2015,60,44,56,30.3,10,16,0,6,NA,50,New York City (USA),Autumn
278,10/5/2015,60,46,65,30.17,10,12,0,6,NA,22,New York City (USA),Autumn
279,10/6/2015,63,47,57,30.02,10,6,0,3,NA,340,New York City (USA),Autumn
280,10/7/2015,64,51,64,30,10,7,0,4,NA,328,New York City (USA),Autumn
281,10/8/2015,63,52,64,30.12,10,6,0,4,NA,109,New York City (USA),Autumn
282,10/9/2015,68,61,81,29.93,10,13,0.28,6,Rain-Thunderstorm,216,New York City (USA),Autumn
283,10/10/2015,59,40,49,30.08,10,9,0,3,NA,5,New York City (USA),Autumn
284,10/11/2015,59,48,63,29.97,10,10,0,2,NA,226,New York City (USA),Autumn
285,10/12/2015,63,52,68,29.83,10,8,0,0,NA,208,New York City (USA),Autumn
286,10/13/2015,67,58,72,29.61,10,9,,6,Rain,212,New York City (USA),Autumn
287,10/14/2015,64,46,55,29.76,10,12,0,6,NA,276,New York City (USA),Autumn
288,10/15/2015,59,40,50,29.98,10,11,0,1,NA,277,New York City (USA),Autumn
289,10/16/2015,60,40,51,29.98,10,12,0,2,NA,277,New York City (USA),Autumn
290,10/17/2015,51,28,46,30.11,10,14,0,3,NA,298,New York City (USA),Autumn
291,10/18/2015,46,21,41,30.29,10,13,0,3,NA,325,New York City (USA),Autumn
292,10/19/2015,44,25,48,30.42,10,11,0,2,NA,266,New York City (USA),Autumn
293,10/20/2015,60,39,49,30.24,10,16,0,4,NA,231,New York City (USA),Autumn
294,10/21/2015,62,49,62,30.28,10,6,0,4,NA,207,New York City (USA),Autumn
295,10/22/2015,62,51,68,30.16,10,9,0,5,NA,216,New York City (USA),Autumn
296,10/23/2015,55,34,42,30.22,10,15,0,1,NA,354,New York City (USA),Autumn
297,10/24/2015,51,38,62,30.34,10,9,0,5,NA,81,New York City (USA),Autumn
298,10/25/2015,60,48,64,30.12,10,15,0.02,6,Rain,268,New York City (USA),Autumn
299,10/26/2015,53,34,52,30.42,10,7,0,4,NA,358,New York City (USA),Autumn
300,10/27/2015,51,39,65,30.53,10,8,0,6,NA,62,New York City (USA),Autumn
301,10/28/2015,60,57,84,30.07,6,20,1.79,8,Rain,111,New York City (USA),Autumn
302,10/29/2015,67,51,62,29.64,9,16,0.06,6,Rain,233,New York City (USA),Autumn
303,10/30/2015,55,31,39,29.94,10,14,0,1,NA,307,New York City (USA),Autumn
304,10/31/2015,48,34,55,30.17,10,7,0,4,NA,220,New York City (USA),Autumn
305,11/1/2015,59,49,71,29.96,10,12,0,7,NA,224,New York City (USA),Autumn
306,11/2/2015,58,46,65,30.08,10,5,0,6,NA,252,New York City (USA),Autumn
307,11/3/2015,58,48,64,30.19,10,4,0,0,NA,227,New York City (USA),Autumn
308,11/4/2015,60,49,69,30.34,10,6,0,0,NA,76,New York City (USA),Autumn
